# scannet_det_train_32frames_bi1.json	118184 rows	model=Qwen/Qwen3-VL-4B-Instruct
# scene	n_boxes	input_ids
scene0191_01	14	14133
scene0191_01	14	14137
scene0191_01	14	14128
scene0191_01	14	14133
scene0191_01	13	14066
scene0191_01	13	14059
scene0191_01	13	14061
scene0191_01	12	14004
scene0191_01	12	13998
scene0191_01	10	13857
scene0191_01	8	13737
scene0191_01	7	13670
scene0191_01	7	13668
scene0191_01	7	13671
scene0191_01	8	13733
scene0191_01	9	13801
scene0191_01	9	13793
scene0191_01	9	13799
scene0191_01	9	13799
scene0191_01	9	13803
scene0191_01	9	13798
scene0191_01	9	13802
scene0191_01	10	13865
scene0191_01	11	13929
scene0191_01	11	13935
scene0191_01	12	13998
scene0191_01	12	14003
scene0191_01	12	14002
scene0191_01	12	14001
scene0191_01	12	13997
scene0191_01	12	14002
scene0191_01	12	14000
scene0191_01	12	14001
scene0191_01	12	14004
scene0191_01	12	13995
scene0191_01	11	13939
scene0191_01	11	13932
scene0191_01	10	13872
scene0191_01	10	13869
scene0191_01	10	13870
scene0191_01	10	13867
scene0191_01	11	13934
scene0191_01	11	13925
scene0191_01	11	13929
scene0191_01	10	13866
scene0191_01	10	13869
scene0191_01	10	13862
scene0191_01	10	13865
scene0191_01	10	13869
scene0191_01	10	13864
scene0191_01	10	13860
scene0191_01	10	13866
scene0191_01	10	13870
scene0191_01	9	13801
scene0191_01	12	13999
scene0191_01	14	14133
scene0191_01	14	14133
scene0191_01	14	14126
scene0191_01	14	14135
scene0191_01	14	14127
scene0191_01	14	14125
scene0191_01	14	14133
scene0191_01	14	14130
scene0191_01	14	14132
scene0191_01	14	14133
scene0191_01	14	14135
scene0191_01	14	14119
scene0191_01	14	14133
scene0191_01	14	14135
scene0191_01	14	14139
scene0191_01	14	14127
scene0191_02	11	13931
scene0191_02	11	13930
scene0191_02	12	13993
scene0191_02	12	14002
scene0191_02	12	13993
scene0191_02	12	13993
scene0191_02	12	14001
scene0191_02	13	14059
scene0191_02	13	14065
scene0191_02	13	14068
scene0191_02	13	14067
scene0191_02	13	14064
scene0191_02	13	14053
scene0191_02	12	13997
scene0191_02	12	13995
scene0191_02	12	13996
scene0191_02	11	13925
scene0191_02	11	13935
scene0191_02	11	13924
scene0191_02	11	13936
scene0191_02	10	13872
scene0191_02	11	13934
scene0191_02	11	13932
scene0191_02	11	13930
scene0191_02	11	13936
scene0191_02	11	13936
scene0191_02	11	13935
scene0191_02	11	13927
scene0191_02	12	13997
scene0191_02	12	13998
scene0191_02	11	13930
scene0191_02	11	13920
scene0191_02	9	13798
scene0191_02	9	13804
scene0191_02	9	13802
scene0191_02	9	13793
scene0191_02	8	13736
scene0191_02	7	13671
scene0191_02	7	13670
scene0191_02	8	13730
scene0191_02	7	13667
scene0191_02	6	13594
scene0191_02	6	13601
scene0191_02	6	13596
scene0191_02	6	13599
scene0191_02	7	13664
scene0191_02	7	13665
scene0191_02	7	13659
scene0191_02	7	13667
scene0191_02	7	13663
scene0191_02	7	13661
scene0191_02	8	13731
scene0191_02	9	13797
scene0191_02	11	13933
scene0191_02	11	13927
scene0191_02	14	14132
scene0191_02	14	14118
scene0191_02	13	14067
scene0191_02	13	14061
scene0119_00	10	13867
scene0119_00	11	13935
scene0119_00	13	14069
scene0119_00	13	14071
scene0119_00	13	14077
scene0119_00	13	14077
scene0119_00	13	14074
scene0119_00	14	14135
scene0119_00	14	14140
scene0119_00	13	14072
scene0119_00	13	14071
scene0119_00	13	14075
scene0119_00	11	13944
scene0119_00	11	13944
scene0119_00	11	13939
scene0119_00	12	14010
scene0119_00	13	14077
scene0119_00	13	14079
scene0119_00	13	14079
scene0119_00	13	14075
scene0119_00	15	14196
scene0119_00	17	14338
scene0119_00	17	14338
scene0119_00	17	14341
scene0119_00	17	14342
scene0119_00	17	14343
scene0119_00	17	14331
scene0119_00	17	14340
scene0119_00	17	14339
scene0119_00	17	14341
scene0119_00	20	14535
scene0119_00	20	14543
scene0119_00	21	14588
scene0119_00	21	14607
scene0119_00	21	14611
scene0119_00	21	14612
scene0119_00	21	14601
scene0119_00	21	14612
scene0119_00	21	14603
scene0119_00	21	14609
scene0119_00	21	14599
scene0119_00	21	14608
scene0119_00	21	14596
scene0119_00	21	14614
scene0119_00	20	14547
scene0119_00	20	14524
scene0119_00	20	14539
scene0119_00	20	14528
scene0119_00	20	14537
scene0119_00	19	14465
scene0119_00	19	14475
scene0119_00	19	14447
scene0119_00	18	14401
scene0119_00	19	14474
scene0119_00	19	14472
scene0119_00	19	14477
scene0119_00	19	14467
scene0119_00	19	14477
scene0119_00	20	14539
scene0119_00	20	14545
scene0119_00	20	14538
scene0119_00	20	14539
scene0119_00	20	14548
scene0230_00	29	15139
scene0528_00	10	13867
scene0528_00	10	13867
scene0528_00	10	13868
scene0528_00	10	13866
scene0528_00	10	13867
scene0528_00	10	13869
scene0528_00	10	13866
scene0528_00	10	13869
scene0528_00	10	13865
scene0528_00	10	13865
scene0528_00	9	13797
scene0528_00	10	13866
scene0528_00	10	13867
scene0528_00	10	13859
scene0528_00	10	13869
scene0528_00	10	13865
scene0528_00	11	13930
scene0528_00	11	13932
scene0528_00	11	13936
scene0528_00	11	13930
scene0528_00	11	13934
scene0528_00	11	13935
scene0528_00	11	13933
scene0528_00	11	13931
scene0528_00	11	13937
scene0528_01	11	13927
scene0528_01	11	13933
scene0528_01	11	13927
scene0528_01	11	13925
scene0528_01	11	13934
scene0528_01	11	13931
scene0528_01	11	13932
scene0528_01	11	13936
scene0528_01	11	13932
scene0528_01	11	13932
scene0528_01	11	13931
scene0528_01	10	13867
scene0528_01	9	13802
scene0528_01	8	13730
scene0528_01	8	13736
scene0528_01	8	13733
scene0528_01	8	13731
scene0528_01	8	13730
scene0705_00	10	6372
scene0705_00	10	6381
scene0705_00	10	6378
scene0705_00	10	6381
scene0705_00	10	6377
scene0705_00	10	6383
scene0705_00	10	6380
scene0705_00	10	6379
scene0705_00	10	6381
scene0705_00	10	6382
scene0705_00	10	6379
scene0705_00	9	6314
scene0705_00	9	6313
scene0705_00	9	6314
scene0705_00	9	6312
scene0705_00	10	6381
scene0705_00	10	6384
scene0705_00	10	6383
scene0705_00	10	6382
scene0705_00	10	6382
scene0705_00	10	6381
scene0705_00	10	6381
scene0705_00	8	6251
scene0705_00	8	6243
scene0705_00	9	6314
scene0705_00	9	6315
scene0705_00	9	6310
scene0705_00	9	6306
scene0705_00	9	6315
scene0705_00	9	6312
scene0705_00	9	6316
scene0705_00	9	6310
scene0705_00	9	6314
scene0705_00	9	6307
scene0705_00	9	6317
scene0705_00	9	6312
scene0705_00	9	6312
scene0705_00	9	6313
scene0705_00	9	6312
scene0705_00	9	6311
scene0705_00	9	6314
scene0705_00	8	6242
scene0705_00	8	6249
scene0705_00	8	6248
scene0705_00	8	6243
scene0705_00	8	6252
scene0705_00	9	6308
scene0705_00	10	6384
scene0705_00	10	6383
scene0705_00	10	6381
scene0705_00	10	6382
scene0705_00	10	6383
scene0705_01	10	6375
scene0705_01	10	6386
scene0705_01	10	6372
scene0705_01	10	6377
scene0705_01	10	6380
scene0705_01	9	6311
scene0705_01	9	6316
scene0705_01	9	6312
scene0705_01	9	6311
scene0705_01	9	6312
scene0705_01	9	6311
scene0705_01	9	6315
scene0705_01	9	6315
scene0705_01	9	6318
scene0705_01	9	6315
scene0705_01	9	6311
scene0705_01	9	6307
scene0705_01	9	6314
scene0705_01	9	6311
scene0705_01	9	6305
scene0705_01	9	6312
scene0705_01	10	6381
scene0705_01	10	6379
scene0705_01	10	6383
scene0705_01	10	6380
scene0705_01	10	6383
scene0705_01	9	6314
scene0705_01	9	6316
scene0705_01	9	6311
scene0705_01	10	6379
scene0705_01	10	6380
scene0705_01	10	6381
scene0705_01	10	6373
scene0705_01	10	6380
scene0705_01	11	6452
scene0705_01	11	6445
scene0705_01	11	6442
scene0705_01	11	6449
scene0705_01	11	6444
scene0705_01	11	6451
scene0705_01	11	6448
scene0705_01	11	6445
scene0705_01	11	6448
scene0705_01	11	6450
scene0705_01	11	6447
scene0705_01	11	6452
scene0705_01	11	6442
scene0705_01	11	6451
scene0705_01	11	6450
scene0705_01	11	6448
scene0705_01	11	6445
scene0705_01	11	6448
scene0705_01	11	6451
scene0705_01	11	6447
scene0705_01	11	6450
scene0705_01	11	6449
scene0705_01	11	6448
scene0705_01	11	6447
scene0705_01	11	6439
scene0705_01	11	6448
scene0705_01	11	6441
scene0705_01	11	6451
scene0705_01	11	6445
scene0705_01	11	6441
scene0705_01	11	6451
scene0705_02	10	6382
scene0705_02	10	6383
scene0705_02	10	6385
scene0705_02	10	6384
scene0705_02	10	6383
scene0705_02	10	6384
scene0705_02	10	6384
scene0705_02	10	6383
scene0705_02	10	6378
scene0705_02	10	6384
scene0705_02	10	6381
scene0705_02	11	6434
scene0705_02	11	6436
scene0705_02	11	6443
scene0705_02	11	6449
scene0705_02	11	6448
scene0705_02	11	6448
scene0705_02	11	6441
scene0705_02	11	6444
scene0705_02	11	6447
scene0705_02	11	6447
scene0705_02	11	6450
scene0705_02	11	6450
scene0705_02	10	6379
scene0705_02	11	6446
scene0705_02	10	6379
scene0705_02	10	6377
scene0705_02	10	6376
scene0705_02	12	6510
scene0705_02	13	6577
scene0705_02	14	6638
scene0705_02	14	6642
scene0705_02	14	6649
scene0705_02	14	6645
scene0705_02	14	6642
scene0705_02	14	6643
scene0705_02	14	6637
scene0705_02	14	6646
scene0705_02	14	6643
scene0705_02	14	6643
scene0705_02	14	6649
scene0705_02	13	6581
scene0705_02	12	6514
scene0705_02	12	6512
scene0705_02	12	6505
scene0705_02	12	6510
scene0705_02	12	6512
scene0705_02	11	6450
scene0705_02	11	6444
scene0705_02	11	6443
scene0705_02	11	6440
scene0705_02	11	6446
scene0705_02	12	6509
scene0705_02	12	6510
scene0705_02	12	6508
scene0705_02	14	6646
scene0705_02	14	6641
scene0705_02	14	6648
scene0705_02	14	6646
scene0705_02	14	6643
scene0705_02	14	6638
scene0705_02	14	6647
scene0705_02	14	6650
scene0705_02	14	6647
scene0705_02	14	6643
scene0705_02	14	6646
scene0007_00	12	13986
scene0007_00	12	13995
scene0007_00	12	13999
scene0007_00	12	13999
scene0007_00	12	13997
scene0007_00	12	13992
scene0007_00	12	13999
scene0007_00	12	13995
scene0007_00	12	13998
scene0007_00	12	13997
scene0007_00	12	13992
scene0007_00	13	14058
scene0007_00	13	14057
scene0007_00	13	14063
scene0007_00	13	14055
scene0007_00	13	14059
scene0007_00	13	14061
scene0007_00	11	13929
scene0007_00	10	13867
scene0007_00	6	13599
scene0007_00	6	13593
scene0007_00	6	13600
scene0007_00	6	13595
scene0007_00	6	13596
scene0007_00	6	13601
scene0007_00	6	13598
scene0007_00	6	13601
scene0007_00	6	13600
scene0007_00	6	13599
scene0007_00	5	13531
scene0007_00	5	13531
scene0007_00	6	13602
scene0007_00	6	13593
scene0007_00	5	13537
scene0007_00	5	13535
scene0007_00	5	13536
scene0007_00	5	13534
scene0007_00	5	13533
scene0007_00	5	13537
scene0007_00	5	13538
scene0007_00	5	13538
scene0007_00	5	13538
scene0007_00	5	13536
scene0007_00	5	13534
scene0007_00	5	13531
scene0007_00	5	13536
scene0007_00	5	13530
scene0007_00	6	13594
scene0007_00	7	13664
scene0007_00	8	13732
scene0007_00	8	13736
scene0007_00	9	13800
scene0007_00	12	13998
scene0007_00	12	13997
scene0007_00	12	13993
scene0007_00	12	13995
scene0007_00	12	13981
scene0007_00	11	13934
scene0007_00	11	13934
scene0007_00	11	13932
scene0007_00	11	13935
scene0007_00	11	13936
scene0007_00	12	14003
scene0141_00	37	15664
scene0141_00	37	15657
scene0141_00	34	15457
scene0141_00	30	15212
scene0141_00	30	15172
scene0141_00	30	15201
scene0141_00	36	15582
scene0141_00	44	16136
scene0141_00	44	16141
scene0141_00	44	16146
scene0141_00	44	16129
scene0141_00	44	16139
scene0141_00	44	16111
scene0141_00	44	16132
scene0141_00	44	16147
scene0141_00	44	16109
scene0141_00	44	16122
scene0141_00	44	16149
scene0141_00	44	16115
scene0141_00	44	16105
scene0141_00	44	16135
scene0141_00	44	16138
scene0141_00	44	16115
scene0141_00	44	16135
scene0141_00	44	16099
scene0141_00	44	16149
scene0141_00	44	16149
scene0141_00	44	16122
scene0141_00	44	16131
scene0141_00	44	16144
scene0141_00	44	16144
scene0141_00	42	15988
scene0141_01	38	15711
scene0141_01	38	15722
scene0141_01	38	15722
scene0141_01	38	15731
scene0141_01	38	15715
scene0141_01	38	15743
scene0141_01	38	15739
scene0141_01	38	15739
scene0141_01	38	15737
scene0141_01	38	15717
scene0141_01	38	15740
scene0141_01	37	15660
scene0141_01	37	15637
scene0141_01	37	15656
scene0141_01	37	15661
scene0141_01	35	15532
scene0141_01	32	15320
scene0141_01	31	15274
scene0141_01	31	15255
scene0141_01	32	15314
scene0141_01	32	15326
scene0141_01	31	15276
scene0141_01	31	15262
scene0141_01	31	15256
scene0141_01	31	15271
scene0141_01	31	15248
scene0141_01	31	15270
scene0141_01	31	15276
scene0141_01	31	15266
scene0141_01	31	15262
scene0141_01	31	15271
scene0141_01	31	15271
scene0141_01	31	15278
scene0141_01	31	15275
scene0141_01	31	15274
scene0141_01	31	15275
scene0141_01	32	15345
scene0141_01	32	15338
scene0141_01	33	15404
scene0141_01	35	15526
scene0141_01	35	15516
scene0141_01	36	15587
scene0141_01	36	15610
scene0141_01	36	15603
scene0141_01	34	15456
scene0141_01	35	15536
scene0141_01	37	15670
scene0141_01	36	15562
scene0141_01	34	15449
scene0141_01	35	15529
scene0141_01	37	15654
scene0141_01	35	15549
scene0141_01	35	15537
scene0141_01	36	15612
scene0141_01	36	15609
scene0141_01	36	15606
scene0141_01	37	15669
scene0141_01	37	15670
scene0141_01	37	15647
scene0141_01	37	15638
scene0141_01	37	15666
scene0141_01	37	15670
scene0141_01	37	15663
scene0141_01	35	15532
scene0141_01	33	15409
scene0141_01	30	15207
scene0141_01	27	14996
scene0141_02	39	15808
scene0141_02	39	15803
scene0141_02	39	15799
scene0141_02	39	15791
scene0141_02	39	15806
scene0141_02	39	15785
scene0141_02	39	15793
scene0141_02	39	15796
scene0141_02	39	15800
scene0141_02	39	15808
scene0141_02	39	15800
scene0141_02	38	15722
scene0141_02	38	15740
scene0141_02	36	15606
scene0141_02	33	15410
scene0141_02	31	15270
scene0141_02	29	15135
scene0141_02	28	15049
scene0141_02	25	14873
scene0141_02	26	14924
scene0141_02	25	14873
scene0141_02	26	14939
scene0141_02	24	14784
scene0141_02	27	14995
scene0141_02	30	15200
scene0141_02	33	15406
scene0141_02	35	15533
scene0141_02	36	15605
scene0141_02	37	15674
scene0141_02	37	15673
scene0141_02	37	15653
scene0141_02	38	15698
scene0141_02	38	15736
scene0141_02	38	15707
scene0141_02	38	15744
scene0141_02	38	15740
scene0141_02	38	15734
scene0141_02	38	15737
scene0141_02	38	15710
scene0141_02	38	15716
scene0141_02	38	15740
scene0141_02	38	15697
scene0141_02	38	15702
scene0141_02	38	15743
scene0141_02	38	15735
scene0141_02	38	15729
scene0141_02	38	15731
scene0141_02	38	15731
scene0141_02	38	15723
scene0141_02	38	15734
scene0141_02	38	15704
scene0141_02	38	15740
scene0141_02	38	15712
scene0141_02	38	15728
scene0141_02	38	15743
scene0141_02	38	15748
scene0141_02	38	15714
scene0141_02	38	15737
scene0141_02	36	15604
scene0141_02	37	15668
scene0141_02	39	15803
scene0141_02	39	15802
scene0141_02	39	15800
scene0141_02	39	15771
scene0141_02	39	15805
scene0141_02	39	15795
scene0515_00	19	14462
scene0515_00	20	14529
scene0515_00	22	14661
scene0515_00	25	14856
scene0515_00	28	15073
scene0515_00	29	15120
scene0515_00	31	15250
scene0515_00	30	15189
scene0515_00	33	15392
scene0515_00	33	15390
scene0515_00	38	15732
scene0515_00	40	15838
scene0515_00	41	15933
scene0515_00	41	15903
scene0515_00	42	16010
scene0515_00	43	16067
scene0515_00	44	16147
scene0515_00	43	16079
scene0515_00	42	15998
scene0515_00	42	15985
scene0515_00	41	15920
scene0515_00	41	15936
scene0515_00	41	15917
scene0515_00	44	16130
scene0515_00	45	16214
scene0515_00	46	16222
scene0515_00	46	16249
scene0515_00	47	16332
scene0515_00	47	16303
scene0515_00	47	16323
scene0515_00	46	16276
scene0515_00	47	16331
scene0515_00	46	16257
scene0515_00	47	16314
scene0515_00	47	16327
scene0515_00	47	16339
scene0515_00	47	16349
scene0515_00	46	16279
scene0515_00	46	16277
scene0515_00	45	16218
scene0515_00	44	16141
scene0515_00	43	16079
scene0515_00	43	16079
scene0515_00	40	15866
scene0515_00	35	15539
scene0515_00	35	15536
scene0515_00	33	15409
scene0515_00	33	15409
scene0515_00	31	15278
scene0515_00	28	15075
scene0515_00	23	14731
scene0515_00	23	14733
scene0515_00	22	14663
scene0515_00	21	14593
scene0515_00	21	14592
scene0515_00	21	14606
scene0515_00	20	14536
scene0515_00	20	14536
scene0515_00	20	14527
scene0515_00	20	14527
scene0515_00	20	14536
scene0515_00	23	14741
scene0515_00	27	15008
scene0515_00	27	14979
scene0515_00	27	14997
scene0515_00	27	15009
scene0515_00	27	15008
scene0515_00	27	14994
scene0515_00	28	15075
scene0515_00	29	15142
scene0515_00	30	15170
scene0515_00	35	15541
scene0515_00	32	15328
scene0515_00	31	15263
scene0515_00	33	15401
scene0515_00	33	15403
scene0515_00	31	15277
scene0515_00	30	15202
scene0515_00	30	15207
scene0515_00	29	15147
scene0515_00	30	15214
scene0515_00	30	15197
scene0515_00	29	15143
scene0515_00	29	15129
scene0515_00	29	15137
scene0515_00	29	15139
scene0515_00	29	15151
scene0515_00	29	15143
scene0515_00	29	15134
scene0515_00	29	15141
scene0515_00	29	15149
scene0515_00	29	15146
scene0515_00	31	15282
scene0515_00	34	15459
scene0515_00	34	15489
scene0515_00	34	15474
scene0515_00	32	15341
scene0515_00	32	15336
scene0515_00	31	15266
scene0515_00	30	15215
scene0515_00	30	15209
scene0515_00	31	15261
scene0515_00	33	15409
scene0515_00	35	15552
scene0515_00	35	15549
scene0515_00	35	15537
scene0515_00	36	15620
scene0515_00	36	15619
scene0515_00	37	15666
scene0515_00	37	15675
scene0515_00	38	15746
scene0515_00	38	15751
scene0515_00	38	15725
scene0515_00	38	15714
scene0515_00	38	15738
scene0515_00	37	15659
scene0515_00	37	15678
scene0515_00	37	15666
scene0515_00	37	15685
scene0515_00	36	15614
scene0515_00	33	15416
scene0515_00	32	15344
scene0515_00	31	15273
scene0515_00	29	15121
scene0515_00	25	14867
scene0515_00	25	14874
scene0515_00	25	14879
scene0515_00	25	14869
scene0515_00	25	14858
scene0515_00	22	14652
scene0515_00	23	14726
scene0515_00	24	14798
scene0515_00	23	14744
scene0515_00	22	14658
scene0515_00	20	14529
scene0515_00	20	14543
scene0515_00	20	14531
scene0515_00	20	14543
scene0515_00	21	14602
scene0515_00	23	14745
scene0515_00	23	14745
scene0515_00	24	14796
scene0515_00	24	14797
scene0515_00	30	15188
scene0515_00	30	15200
scene0515_00	30	15208
scene0515_00	32	15329
scene0515_00	32	15332
scene0515_00	33	15414
scene0515_00	33	15413
scene0515_00	34	15476
scene0515_00	35	15547
scene0515_00	35	15535
scene0515_00	35	15544
scene0515_00	35	15544
scene0515_00	35	15524
scene0515_00	35	15543
scene0515_00	36	15615
scene0515_00	36	15618
scene0515_00	37	15669
scene0515_00	36	15613
scene0515_00	39	15813
scene0515_00	43	16074
scene0515_00	42	15964
scene0515_00	42	15986
scene0515_00	41	15936
scene0515_00	42	16007
scene0515_00	41	15943
scene0515_00	40	15868
scene0515_00	40	15867
scene0515_00	41	15934
scene0515_00	42	16011
scene0515_00	42	16013
scene0515_00	42	15999
scene0515_00	41	15905
scene0515_00	42	16008
scene0515_00	46	16267
scene0515_00	47	16321
scene0515_00	48	16407
scene0515_00	49	16488
scene0515_00	50	16547
scene0515_00	51	16586
scene0515_00	50	16534
scene0515_00	50	16547
scene0515_00	50	16534
scene0515_00	50	16523
scene0515_00	50	16533
scene0515_00	52	16654
scene0515_00	51	16613
scene0515_00	52	16686
scene0515_00	53	16744
scene0515_00	53	16726
scene0515_00	55	16880
scene0515_00	55	16864
scene0515_00	55	16895
scene0515_00	55	16858
scene0515_00	55	16858
scene0515_00	52	16663
scene0515_00	51	16607
scene0515_00	52	16684
scene0515_00	50	16509
scene0515_00	48	16404
scene0515_01	31	15291
scene0515_01	34	15483
scene0515_01	38	15728
scene0515_01	37	15684
scene0515_01	41	15924
scene0515_01	41	15900
scene0515_01	41	15919
scene0515_01	40	15892
scene0515_01	39	15821
scene0515_01	39	15809
scene0515_01	38	15753
scene0515_01	38	15750
scene0515_01	38	15742
scene0515_01	37	15673
scene0515_01	38	15735
scene0515_01	38	15760
scene0515_01	38	15735
scene0515_01	38	15756
scene0515_01	39	15821
scene0515_01	39	15820
scene0515_01	42	16017
scene0515_01	43	16073
scene0515_01	45	16224
scene0515_01	47	16359
scene0515_01	47	16352
scene0515_01	47	16362
scene0515_01	46	16256
scene0515_01	47	16345
scene0515_01	45	16223
scene0515_01	45	16167
scene0515_01	44	16155
scene0515_01	44	16160
scene0515_01	44	16148
scene0515_01	43	16089
scene0515_01	38	15726
scene0515_01	37	15673
scene0515_01	33	15412
scene0515_01	33	15397
scene0515_01	30	15199
scene0515_01	28	15078
scene0515_01	26	14924
scene0515_01	25	14878
scene0515_01	24	14804
scene0515_01	24	14812
scene0515_01	24	14800
scene0515_01	23	14729
scene0515_01	23	14738
scene0515_01	23	14745
scene0515_01	23	14737
scene0515_01	23	14735
scene0515_01	23	14731
scene0515_01	24	14794
scene0515_01	23	14746
scene0515_01	23	14742
scene0515_01	23	14744
scene0515_01	25	14855
scene0515_01	29	15145
scene0515_01	36	15597
scene0515_01	38	15749
scene0515_01	38	15741
scene0515_01	38	15747
scene0515_01	41	15929
scene0515_01	41	15943
scene0515_01	42	16028
scene0515_01	44	16141
scene0515_01	42	16020
scene0515_01	44	16157
scene0515_01	43	16089
scene0515_01	43	16076
scene0515_01	42	16016
scene0515_01	41	15953
scene0515_01	39	15822
scene0515_01	37	15675
scene0515_01	37	15683
scene0515_01	37	15648
scene0515_01	37	15689
scene0515_01	37	15674
scene0515_01	38	15739
scene0515_01	38	15760
scene0515_01	38	15754
scene0515_01	38	15744
scene0515_01	38	15753
scene0515_01	37	15663
scene0515_01	37	15668
scene0515_01	35	15539
scene0515_01	33	15401
scene0515_01	32	15352
scene0515_01	32	15344
scene0515_01	32	15355
scene0515_01	32	15354
scene0515_01	32	15350
scene0515_01	32	15357
scene0515_01	32	15354
scene0515_01	30	15218
scene0515_01	29	15150
scene0515_01	29	15110
scene0515_01	27	15020
scene0515_01	27	15017
scene0515_01	30	15223
scene0515_01	32	15352
scene0515_01	34	15492
scene0515_01	36	15569
scene0515_01	36	15593
scene0515_01	34	15491
scene0515_01	32	15356
scene0515_01	32	15353
scene0515_01	34	15450
scene0515_01	34	15489
scene0515_01	34	15484
scene0515_01	35	15523
scene0515_01	37	15687
scene0515_01	36	15617
scene0515_01	36	15619
scene0515_01	40	15880
scene0515_01	41	15946
scene0515_01	39	15806
scene0515_01	38	15755
scene0515_01	36	15598
scene0515_01	36	15595
scene0515_01	35	15529
scene0515_01	34	15471
scene0515_01	34	15482
scene0515_01	34	15480
scene0515_01	34	15471
scene0515_01	33	15402
scene0515_01	33	15405
scene0515_01	33	15387
scene0515_01	33	15396
scene0515_01	32	15347
scene0515_01	32	15349
scene0515_01	32	15344
scene0515_01	31	15283
scene0515_01	32	15331
scene0515_01	32	15330
scene0515_01	31	15266
scene0515_01	32	15337
scene0515_01	35	15505
scene0515_01	35	15546
scene0515_01	36	15593
scene0515_01	37	15684
scene0515_01	35	15528
scene0515_01	35	15551
scene0515_01	35	15549
scene0515_01	35	15543
scene0515_01	35	15518
scene0515_01	35	15547
scene0515_01	35	15537
scene0515_01	35	15550
scene0515_01	35	15543
scene0515_01	36	15619
scene0515_01	37	15670
scene0515_01	36	15589
scene0515_01	36	15612
scene0515_01	36	15620
scene0515_01	35	15539
scene0515_01	36	15621
scene0515_01	35	15553
scene0515_01	31	15277
scene0515_01	28	15090
scene0515_01	26	14948
scene0515_01	26	14952
scene0515_01	25	14873
scene0515_01	27	15011
scene0515_01	27	15020
scene0515_01	26	14935
scene0515_01	22	14681
scene0515_01	21	14619
scene0515_01	21	14621
scene0515_01	20	14553
scene0515_01	20	14544
scene0515_01	20	14549
scene0515_01	22	14684
scene0515_01	23	14756
scene0515_01	23	14746
scene0515_01	24	14823
scene0515_01	24	14818
scene0515_01	24	14802
scene0515_01	25	14876
scene0515_01	27	15021
scene0515_01	27	15021
scene0515_01	26	14928
scene0515_01	26	14951
scene0515_01	28	15084
scene0515_01	29	15139
scene0515_01	30	15213
scene0515_01	30	15220
scene0515_01	30	15208
scene0515_01	30	15222
scene0515_01	32	15348
scene0515_01	32	15356
scene0515_01	32	15354
scene0515_01	34	15488
scene0515_01	35	15558
scene0515_01	35	15528
scene0515_01	35	15560
scene0515_01	35	15530
scene0515_01	35	15544
scene0515_01	37	15663
scene0515_01	38	15755
scene0515_01	39	15819
scene0515_01	40	15878
scene0515_01	41	15917
scene0515_01	41	15938
scene0515_01	40	15879
scene0515_02	49	16459
scene0515_02	50	16546
scene0515_02	51	16607
scene0515_02	51	16621
scene0515_02	53	16744
scene0515_02	53	16767
scene0515_02	53	16756
scene0515_02	51	16571
scene0515_02	50	16526
scene0515_02	47	16357
scene0515_02	47	16353
scene0515_02	47	16332
scene0515_02	47	16361
scene0515_02	46	16286
scene0515_02	45	16227
scene0515_02	44	16148
scene0515_02	44	16153
scene0515_02	43	16051
